# ============================================================================
# GPLOT Model Info Table (Python format)
#
# Column 1: Model ID (ATCF TECH code)
# Column 2: Display label (shown in plot legends)
# Column 3: matplotlib marker string
#           ('o','s','^','v','<','>','*','D','d','p','h','8','P','X','+','x','.')
# Column 4: matplotlib color value. May be any of:
#             - A CSS4/X11 named color (e.g. 'blue', 'darkgoldenrod')
#             - An xkcd color with the 'xkcd:' prefix (e.g. 'xkcd:deep pink')
#             - A hex value (e.g. '#8B0A50')
#             - A grayscale float string in [0,1] (e.g. '0.25')
# Column 5: Long name (optional)
#
# Fields are separated by commas.  Lines starting with '#' are comments.
# This file supersedes ModelInfo.dat (which uses NCL marker indices and
# NCL-only X11 color names).  Python modules prefer this file when present.
# ============================================================================

# OPERATIONAL MODELS #
AEMI,            AEMI: Interp. AEMN,  X,                  xkcd:dark pink,   Global Ensemble Forecast System Mean (Early)
AP00,                AP00: GEFS(00),  .,                            red,   Global Ensemble Forecast System (00)
AP01,                AP01: GEFS(01),  .,                 xkcd:bright red,   Global Ensemble Forecast System (01)
AP02,                AP02: GEFS(02),  .,                       xkcd:red,   Global Ensemble Forecast System (02)
AP03,                AP03: GEFS(03),  .,                       darkred,   Global Ensemble Forecast System (03)
AP04,                AP04: GEFS(04),  .,                      rosybrown,   Global Ensemble Forecast System (04)
AP05,                AP05: GEFS(05),  .,                       xkcd:rose, Global Ensemble Forecast System (05)
AP06,                AP06: GEFS(06),  .,                  xkcd:dusty rose, Global Ensemble Forecast System (06)
AP07,                AP07: GEFS(07),  .,                  xkcd:dusky rose, Global Ensemble Forecast System (07)
AP08,                AP08: GEFS(08),  .,                 xkcd:dark mauve,   Global Ensemble Forecast System (08)
AP09,                AP09: GEFS(09),  .,                      royalblue,   Global Ensemble Forecast System (09)
AP10,                AP10: GEFS(10),  .,                 xkcd:royal blue,   Global Ensemble Forecast System (10)
AP11,                AP11: GEFS(11),  .,                  xkcd:deep blue,   Global Ensemble Forecast System (11)
AP12,                AP12: GEFS(12),  .,                  xkcd:dark blue,   Global Ensemble Forecast System (12)
AP13,                AP13: GEFS(13),  .,              xkcd:midnight blue,   Global Ensemble Forecast System (13)
AP14,                AP14: GEFS(14),  .,                  xkcd:chocolate,   Global Ensemble Forecast System (14)
AP15,                AP15: GEFS(15),  .,                         salmon,   Global Ensemble Forecast System (15)
